,SCL,SCR
Physio_Events_10.mat,0.00186792653778595,-9.296711909369658e-05
Physio_Events_11.mat,0.0011619284926484925,0.00027022832411175324
Physio_Events_12.mat,0.0018618021193582022,-0.00011095548367119524
Physio_Events_13.mat,0.0014395328788465137,0.00011593776211872567
Physio_Events_14.mat,0.0010660732551672609,0.00046052502806885663
Physio_Events_15.mat,0.0017814991539254268,1.4535385577964653e-05
Physio_Events_16.mat,0.0018151930285494869,-6.172579149359435e-05
Physio_Events_17.mat,0.0019145138250626734,0.0004648908488567575
Physio_Events_18.mat,-0.0037986554461694184,-3.956869794787112e-05
Physio_Events_19.mat,-0.004135098457310398,0.0001398558496258517
Physio_Events_20.mat,-0.004778049036946392,0.0002786140990298959
Physio_Events_21.mat,-0.003189750030845249,-1.4633434417487694e-05
Physio_Events_22.mat,-0.004341395993968544,0.00017085623755706012
Physio_Events_23.mat,-0.004164477379732867,9.466584931270242e-05
Physio_Events_24.mat,-0.003903560229100582,-9.957529057397057e-05
Physio_Events_25.mat,-0.003942373616398271,-6.965523467991077e-05
Physio_Events_26.mat,-0.003953151987945048,-0.0001751605428049731
Physio_Events_27.mat,-0.004317924461709227,-2.5094160463333956e-05
Physio_Events_28.mat,-0.004208577816989202,0.00023920190631022202
Physio_Events_29.mat,-0.0038318729305935337,-5.738566163853909e-05
Physio_Events_8.mat,0.0018277943266190434,-4.399645695266166e-05
Physio_Events_9.mat,0.002786079279284725,-0.0005218585239874288
